Wall time,Step,Value
1582141676.4181135,105,5.3834733963012695
1582141679.5339158,168,14.7164888381958
1582141689.49094,357,11.400022506713867
1582141693.7291806,441,14.491055488586426
1582141697.082628,504,21.857975006103516
1582141702.56042,609,10.098432540893555
1582141712.1132646,798,20.446292877197266
1582141731.3997114,1176,12.244853019714355
1582141732.3875766,1197,23.834869384765625
1582141734.5066848,1239,21.1530818939209
1582141746.2960184,1470,25.110231399536133
1582141757.7300875,1701,19.016202926635742
1582141758.731507,1722,21.817270278930664
1582141759.8523092,1743,18.099590301513672
1582141764.0880516,1827,24.26360511779785
1582141767.293488,1890,12.180018424987793
1582141768.4099443,1911,9.863933563232422
1582141783.1425314,2205,23.682403564453125
1582141784.2567449,2226,12.586102485656738
1582141785.2523515,2247,18.580852508544922
1582141805.214537,2646,13.904458999633789
1582141808.3254657,2709,28.278146743774414
1582141811.5730474,2772,15.810953140258789
1582141812.6881855,2793,10.838659286499023
1582141822.27335,2982,15.143539428710938
1582141851.7217488,3570,30.89362144470215
1582141855.8239746,3654,29.505176544189453
1582141856.8187463,3675,30.618234634399414
1582141866.285286,3864,13.670194625854492
1582141867.3972452,3885,26.424175262451172
1582141870.5042827,3948,31.93548011779785
1582141875.7257419,4053,28.517444610595703
1582141876.7260377,4074,31.6280574798584
1582141882.9541252,4200,32.38673400878906
1582141898.7416954,4515,33.030479431152344
1582141902.8362644,4599,22.21860122680664
1582141903.9538677,4620,20.218833923339844
1582141907.0474432,4683,13.402387619018555
1582141908.1674538,4704,27.737682342529297
1582141913.2524,4809,33.40482711791992
1582141919.5929127,4935,14.670578002929688
1582141920.6079128,4956,32.00628662109375
1582141921.619172,4977,24.033422470092773
1582141926.968244,5082,18.037307739257812
1582141930.1817527,5145,10.336984634399414
1582141932.1678567,5187,34.130245208740234
1582141949.8246489,5544,21.207712173461914
1582141961.2635307,5775,25.683446884155273
1582141966.486388,5880,31.766494750976562
1582141979.0158007,6132,34.029754638671875
1582141984.2559326,6237,16.630382537841797
1582141986.3696048,6279,16.604507446289062
1582141987.3692472,6300,35.944766998291016
1582141989.3666675,6342,16.667695999145508
1582141999.7822855,6552,10.47063159942627
1582142001.7761161,6594,36.02165603637695
1582142016.3622663,6888,37.19877243041992
1582142019.4777238,6951,25.016353607177734
1582142022.5710003,7014,34.8680305480957
1582142023.5639424,7035,22.362796783447266
1582142028.8959749,7140,10.529173851013184
1582142029.887088,7161,37.137081146240234
1582142033.995261,7245,35.54469299316406
1582142036.1110177,7287,24.135517120361328
1582142037.1090896,7308,37.430198669433594
1582142046.5665472,7497,15.145146369934082
1582142049.6696906,7560,37.74883270263672
1582142055.896532,7686,13.159730911254883
1582142056.8907912,7707,38.20305252075195
1582142057.8867805,7728,38.47644805908203
1582142058.8857968,7749,38.21416473388672
1582142061.0011852,7791,16.469242095947266
1582142065.0899496,7875,38.967430114746094
1582142069.306649,7959,37.18856430053711
1582142070.298847,7980,28.01192283630371
1582142073.4087267,8043,37.2177848815918
1582142074.415562,8064,27.129098892211914
1582142075.5319118,8085,11.463797569274902
1582142088.1059775,8337,23.20224380493164
1582142092.196543,8421,37.79688262939453
1582142093.305218,8442,10.643041610717773
1582142100.6815338,8589,15.70117473602295
1582142102.6993442,8631,39.159767150878906
1582142117.2736337,8925,13.596359252929688
1582142123.3742895,9051,32.961219787597656
1582142126.4830282,9114,25.38883399963379
1582142130.5982282,9198,13.845637321472168
1582142135.958311,9303,31.777667999267578
1582142139.066173,9366,36.27869415283203
1582142148.258781,9555,40.961181640625
1582142182.2334428,10248,18.192203521728516
1582142187.4435794,10353,31.6058292388916
1582142200.7068963,10626,23.886220932006836
1582142206.9236386,10752,26.737661361694336
1582142208.0354753,10773,26.532955169677734
1582142209.0341067,10794,43.67274475097656
1582142212.0278451,10857,41.455474853515625
1582142218.2403536,10983,16.983306884765625
1582142219.2328176,11004,43.86664581298828
1582142226.3061745,11151,42.27715301513672
1582142231.3706174,11256,38.368896484375
1582142234.4615686,11319,44.599857330322266
1582142245.581787,11550,18.858617782592773
1582142246.5733643,11571,45.01906967163086
1582142247.5633645,11592,44.96282958984375
1582142248.6070225,11613,41.79633331298828
1582142258.896309,11823,42.04905319213867
1582142266.9350092,11991,40.679630279541016
1582142269.0413988,12033,24.163360595703125
1582142272.0139651,12096,44.901649475097656
1582142273.0102658,12117,45.90838623046875
1582142276.0036833,12180,45.03677749633789
1582142282.099599,12306,46.2750244140625
1582142284.095806,12348,45.82560729980469
1582142288.0700583,12432,46.187381744384766
1582142298.1550834,12642,47.22069549560547
1582142301.1415274,12705,47.767127990722656
1582142303.1327264,12747,47.43522644042969
1582142307.1181142,12831,48.017669677734375
1582142310.1110775,12894,48.222373962402344
1582142324.0911674,13188,49.342559814453125
1582142333.1586344,13377,49.860992431640625
1582142339.1554158,13503,49.360984802246094
1582142345.136425,13629,50.25303649902344
1582142347.1303754,13671,50.37226104736328
1582142353.1146784,13797,50.48197555541992
1582142355.090522,13839,50.74944305419922
1582142356.0838487,13860,50.6030387878418
1582142359.0622072,13923,50.546051025390625
1582142360.0550787,13944,50.746009826660156
1582142362.0460315,13986,50.82715606689453
1582142364.0363038,14028,50.92136764526367
1582142366.0228777,14070,50.499412536621094
1582142367.0154755,14091,50.92167282104492
1582142374.9949937,14259,51.1149787902832
1582142377.9847953,14322,51.13200759887695
1582142384.964863,14469,51.2206916809082
1582142386.9679184,14511,51.1177864074707
1582142391.9345942,14616,47.63591384887695
1582142395.917948,14700,48.90822219848633
1582142403.0254998,14847,40.22761154174805
1582142410.232746,14994,48.56726837158203
1582142423.5457332,15267,42.80821228027344
1582142438.9895713,15582,50.550201416015625
1582142442.0905292,15645,52.056419372558594
1582142448.1695225,15771,52.45820236206055
1582142451.1519275,15834,51.87800979614258
1582142453.1408787,15876,52.243080139160156
1582142455.1309292,15918,52.45298385620117
1582142457.126003,15960,53.0184440612793
1582142459.113755,16002,53.141448974609375
1582142464.1041143,16107,53.389404296875
1582142465.1070695,16128,53.02805709838867
1582142469.0986264,16212,53.61736297607422
